FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
5, -0.875244, -0.025879, -0.514160, -0.747681, 1.144409, -0.244141, 0.000000
5, -0.877197, -0.025879, -0.509033, -0.747681, 0.915527, -0.213623, 0.000000
5, -0.876465, -0.021240, -0.508057, -0.534058, 0.793457, -0.167847, 0.000000
5, -0.876709, -0.020020, -0.516357, -0.595093, 0.701904, -0.106812, 0.000000
5, -0.875977, -0.025879, -0.511475, -0.534058, 0.381470, -0.122070, 0.000000
5, -0.871338, -0.026367, -0.513184, -0.518799, 0.335693, -0.198364, 0.000000
5, -0.876953, -0.030518, -0.514648, -0.503540, 0.381470, -0.091553, 0.000000
6, -0.876953, -0.027344, -0.512207, -0.579834, 0.198364, -0.152588, 0.000000
6, -0.872070, -0.029297, -0.513184, -0.595093, 0.137329, -0.305176, 0.000000
6, -0.872559, -0.028809, -0.507568, -0.442505, 0.061035, -0.305176, 0.000000
6, -0.869385, -0.028564, -0.506836, -0.656128, -0.030518, -0.335693, 0.000000
6, -0.872314, -0.032715, -0.509521, -0.656128, -0.198364, -0.183105, 0.000000
6, -0.874268, -0.030518, -0.507813, -0.701904, 0.015259, -0.198364, 0.000000
6, -0.871582, -0.028320, -0.505859, -0.564575, -0.106812, -0.122070, 0.000000
6, -0.876465, -0.031982, -0.503174, -0.549316, -0.244141, -0.076294, 0.000000
6, -0.872803, -0.031006, -0.504883, -0.640869, -0.030518, -0.076294, 0.000000
6, -0.873047, -0.032715, -0.506104, -0.839233, -0.213623, 0.091553, 0.000000
6, -0.873291, -0.030518, -0.502197, -0.701904, -0.152588, 0.076294, 0.000000
6, -0.867920, -0.026855, -0.500732, -0.717163, -0.122070, 0.152588, 0.000000
6, -0.877930, -0.025391, -0.493652, -0.579834, -0.030518, 0.228882, 0.000000
6, -0.876465, -0.027588, -0.504883, -0.579834, 0.213623, 0.289917, 0.000000
6, -0.875000, -0.022705, -0.489014, -0.686646, 0.259399, 0.411987, 0.000000
6, -0.873291, -0.022705, -0.495850, -0.854492, 0.335693, 0.442505, 0.000000
6, -0.873779, -0.025635, -0.494629, -0.946045, 0.411987, 0.335693, 0.000000
7, -0.871826, -0.020508, -0.498047, -0.976563, 0.488281, 0.427246, 0.000000
7, -0.871582, -0.021973, -0.500000, -0.991821, 0.717163, 0.488281, 0.000000
7, -0.879395, -0.024414, -0.496582, -1.281738, 0.549316, 0.427246, 0.000000
7, -0.877686, -0.017822, -0.505127, -1.464844, 0.747681, 0.305176, 0.000000
7, -0.873535, -0.023438, -0.506836, -1.403809, 0.640869, 0.335693, 0.000000
7, -0.871582, -0.024902, -0.509033, -1.541138, 0.793457, 0.411987, 0.000000
7, -0.878662, -0.025146, -0.513428, -1.754761, 0.732422, 0.228882, 0.000000
7, -0.873047, -0.024902, -0.510742, -1.617432, 0.671387, 0.167847, 0.000000
7, -0.871338, -0.024902, -0.505371, -1.373291, 0.671387, 0.289917, 0.000000
7, -0.875000, -0.028564, -0.514893, -1.312256, 0.656128, 0.411987, 0.000000
7, -0.876465, -0.025879, -0.515381, -1.144409, 0.595093, 0.411987, 0.000000
7, -0.879150, -0.026367, -0.519531, -1.419067, 0.640869, 0.244141, 0.000000
7, -0.875977, -0.026367, -0.509766, -1.327515, 0.518799, 0.076294, 0.000000
7, -0.872559, -0.029785, -0.518555, -1.144409, 0.686646, 0.305176, 0.000000
7, -0.873535, -0.029297, -0.522705, -1.098633, 0.396729, 0.244141, 0.000000
7, -0.874756, -0.024658, -0.519531, -1.235962, 0.228882, 0.320435, 0.000000
8, -0.875000, -0.026855, -0.518311, -1.098633, 0.122070, 0.198364, 0.000000
8, -0.878174, -0.025879, -0.523926, -1.220703, -0.045776, 0.183105, 0.000000
8, -0.875488, -0.022949, -0.523438, -1.403809, -0.244141, 0.045776, 0.000000
8, -0.879639, -0.027832, -0.517578, -1.007080, -0.473022, -0.015259, 0.000000
8, -0.879150, -0.022705, -0.513916, -0.961304, -0.671387, 0.045776, 0.000000
8, -0.876953, -0.022217, -0.519043, -0.961304, -0.640869, -0.076294, 0.000000
8, -0.874268, -0.023682, -0.514893, -0.915527, -0.869751, -0.061035, 0.000000
8, -0.882080, -0.020508, -0.510254, -0.686646, -0.839233, -0.137329, 0.000000
8, -0.875000, -0.026855, -0.512451, -0.549316, -0.839233, -0.320435, 0.000000
8, -0.877441, -0.029297, -0.506836, -0.518799, -0.808716, -0.442505, 0.000000
8, -0.874756, -0.025635, -0.504150, -0.259399, -0.701904, -0.503540, 0.000000
8, -0.875488, -0.027344, -0.508301, -0.274658, -0.854492, -0.595093, 0.000000
8, -0.876953, -0.031250, -0.505371, -0.244141, -1.068115, -0.701904, 0.000000
8, -0.872070, -0.030762, -0.499512, -0.305176, -0.946045, -0.839233, 0.000000
8, -0.873535, -0.028076, -0.494873, -0.198364, -0.976563, -0.976563, 0.000000
8, -0.876953, -0.031738, -0.500244, 0.076294, -0.976563, -0.717163, 0.000000
8, -0.871094, -0.034424, -0.495605, 0.106812, -1.007080, -0.686646, 0.000000
9, -0.872070, -0.030518, -0.498535, -0.091553, -0.991821, -0.839233, 0.000000
9, -0.869385, -0.034912, -0.495117, 0.076294, -0.961304, -0.808716, 0.000000
9, -0.869629, -0.038086, -0.494141, 0.000000, -1.007080, -0.747681, 0.000000
9, -0.866699, -0.037842, -0.485840, 0.015259, -0.823975, -0.686646, 0.000000
9, -0.869385, -0.042236, -0.488525, -0.228882, -0.961304, -0.488281, 0.000000
9, -0.869873, -0.043457, -0.495850, -0.167847, -0.854492, -0.305176, 0.000000
9, -0.868896, -0.042725, -0.495605, -0.259399, -0.579834, -0.335693, 0.000000
9, -0.866211, -0.038574, -0.490967, -0.320435, -0.579834, -0.152588, 0.000000
9, -0.866943, -0.041748, -0.486328, -0.549316, -0.595093, -0.045776, 0.000000
9, -0.865967, -0.037842, -0.490967, -0.442505, -0.640869, -0.015259, 0.000000
9, -0.875488, -0.044434, -0.499512, -0.473022, -0.549316, 0.259399, 0.000000
9, -0.870850, -0.046875, -0.490234, -0.503540, -0.427246, 0.442505, 0.000000
9, -0.869141, -0.043213, -0.489746, -0.381470, -0.427246, 0.549316, 0.000000
9, -0.868652, -0.046631, -0.495361, -0.473022, -0.305176, 0.656128, 0.000000
9, -0.869141, -0.045898, -0.495117, -0.549316, -0.183105, 0.839233, 0.000000
9, -0.870850, -0.040283, -0.503174, -0.244141, -0.167847, 0.991821, 0.000000
9, -0.872559, -0.040283, -0.496338, -0.457764, -0.167847, 1.022339, 0.000000
10, -0.869629, -0.041992, -0.502441, -0.289917, -0.061035, 1.205444, 0.000000
10, -0.871582, -0.042236, -0.499023, 0.000000, -0.167847, 1.266479, 0.000000
10, -0.876709, -0.041260, -0.498047, 0.076294, -0.045776, 1.434326, 0.000000
10, -0.874023, -0.037598, -0.497559, 0.122070, 0.137329, 1.373291, 0.000000
10, -0.868652, -0.036377, -0.506104, 0.061035, 0.213623, 1.510620, 0.000000
10, -0.871826, -0.033936, -0.500977, 0.442505, 0.350952, 1.617432, 0.000000
10, -0.875244, -0.036621, -0.501953, 0.473022, 0.167847, 1.602173, 0.000000
10, -0.875000, -0.030762, -0.499512, 0.457764, 0.061035, 1.785278, 0.000000
10, -0.871094, -0.028564, -0.501709, 0.625610, -0.091553, 1.632690, 0.000000
10, -0.876709, -0.029541, -0.506348, 0.823975, -0.076294, 1.647949, 0.000000
10, -0.875488, -0.022217, -0.506104, 0.762939, -0.076294, 1.663208, 0.000000
10, -0.875732, -0.022217, -0.498047, 0.595093, -0.167847, 1.510620, 0.000000
10, -0.876221, -0.018555, -0.497070, 0.656128, -0.274658, 1.525879, 0.000000
10, -0.875732, -0.020264, -0.496826, 0.518799, -0.244141, 1.541138, 0.000000
10, -0.874268, -0.018799, -0.495117, 0.579834, -0.244141, 1.495361, 0.000000
10, -0.877197, -0.015137, -0.493896, 0.473022, -0.320435, 1.419067, 0.000000
11, -0.871826, -0.012939, -0.500244, 0.488281, -0.259399, 1.358032, 0.000000
11, -0.877930, -0.007324, -0.490479, 0.396729, -0.137329, 1.205444, 0.000000
11, -0.874512, -0.007568, -0.494141, 0.442505, 0.076294, 0.946045, 0.000000
11, -0.871582, -0.009277, -0.491699, 0.350952, 0.091553, 0.915527, 0.000000
11, -0.873535, -0.009521, -0.494141, 0.473022, 0.198364, 0.808716, 0.000000
